# x   y
4.758129365970997782e+00 1.020946640243830572e+01
6.218088288954752407e+00 1.381522947464801021e+01
5.015131431209018054e+00 7.642252988811085501e+00
4.594123781990383293e+00 1.127456724819328571e+01
3.100032710069887898e+00 9.746999250479191801e+00
4.680469385460121146e+00 8.559829324546861073e+00
5.215858510826185679e+00 1.287786576173910902e+01
6.572135173194434188e+00 1.222854648789968124e+01
4.031290773951875295e+00 1.022020468011312921e+01
4.071310480961468414e+00 9.602197434016956024e+00
6.102970446895659151e+00 1.149020012819128311e+01
5.299296574593613585e+00 9.165840031767864104e+00
4.740308702040273658e+00 1.060384155770161385e+01
5.052623915646568875e+00 8.908031293894650204e+00
4.629339011305080298e+00 1.070174755137414202e+01
5.529570954699781105e+00 1.151102196317357418e+01
6.934901240063790162e+00 1.405931378601786719e+01
5.803735516857525312e+00 1.102123374407895895e+01
4.840869028958801223e+00 9.624740483747357800e+00
4.722238980068714120e+00 9.914078822110109712e+00
4.172830361075801520e+00 8.896308162512706730e+00
4.857159627948452574e+00 1.311252369997550637e+01
4.892417615985881874e+00 1.159384943413074609e+01
5.959846654366851126e+00 1.120476347910003767e+01
2.801375271725129679e+00 5.402546997193245382e+00
4.442220642356375038e+00 8.729923365894212139e+00
5.508393074274758661e+00 9.332624101290511121e+00
3.634276828612591714e+00 8.236327357749313904e+00
6.977537319133778837e+00 1.244267495161845360e+01
4.240890178771635988e+00 8.905826295828479289e+00
4.300823503976119788e+00 1.033483113973035650e+01
6.805757955599183617e+00 1.413824311719583093e+01
4.503265487713000503e+00 1.064714691041736394e+01
4.754774593540418870e+00 9.052503975608541253e+00
6.971256218280240446e+00 1.307210754624849436e+01
4.003786841861126433e+00 9.013880223632096289e+00
4.062305485376903391e+00 7.674720619551120393e+00
4.869346086785006023e+00 1.013067366900976296e+01
4.525941939295443639e+00 9.126410897210245565e+00
4.155131241487501015e+00 1.126109955986061806e+01
5.252388969890630754e+00 1.145185284305296669e+01
5.066868161493398581e+00 8.162552916320095164e+00
4.173824774698369211e+00 7.840061601098121002e+00
3.306147465189187784e+00 7.245541104855592884e+00
4.488548244833400425e+00 7.785804377135146837e+00
3.328563903107227162e+00 6.072644868202726975e+00
7.200174037717555819e+00 1.299757721454716553e+01
4.232581494299909153e+00 1.048319758185566464e+01
4.409941095316686877e+00 7.895573242784420742e+00
